"Id","Name","Overview","Backdrop Path","Poster Path"
"10","Star Wars Collection","An epic space-opera theatrical film series, which depicts the adventures of various characters ""a long time ago in a galaxy far, far away….""","/d8duYyyC9J5T825Hg7grmaabfxQ.jpg","/gq5Wi7i4SF3lo4HHkJasDV95xI9.jpg"
"119","The Lord of the Rings Collection","The Lord of the Rings trilogy consists of three epic fantasy films, based on the influential novels written by J. R. R. Tolkien, directed by Peter Jackson.","/bccR2CGTWVVSZAG0yqmy3DIvhTX.jpg","/oENY593nKRVL2PnxXsMtlh8izb4.jpg"
"230","The Godfather Collection","Francis Ford Coppola’s trilogy films about the everyday life of a New York mafia family. With its star-studded cast these films would go down in history as some of the greatest Hollywood has ever produced.","/3WZTxpgscsmoUk81TuECXdFOD0R.jpg","/zqV8MGXfpLZiFVObLxpAI7wWonJ.jpg"
"263","The Dark Knight Collection","A superhero film series based on the DC Comics character Batman. Centered on Bruce Wayne, a billionaire dedicating his life to fight crime in his home, Gotham City, as a masked vigilante known as Batman.","/xfKot7lqaiW4XpL5TtDlVBA9ei9.jpg","/hGvOMQBD88jAV0olS2DT1AxreHn.jpg"
"264","Back to the Future Collection","An American science fiction–comedy film series that follows the adventures of a high school student, Marty McFly and an eccentric scientist, Dr Emmett L. Brown as they use a DeLorean time machine to time travel to different periods in the history of Hill Valley, California.","/AqQotqj7XOI6GjB28nhMMa8YzOT.jpg","/5Xsu2o5IsZRuuxCEVZ9nVve21FP.jpg"
"295","Pirates of the Caribbean Collection","A series of fantasy swashbuckler films based on Walt Disney's theme park ride of the same name. The films follow the adventures of Captain Jack Sparrow and take place in a fictional historical setting; a world ruled by the British Empire, the East India Trading Company and the Spanish Empire, with pirates representing freedom from the ruling powers.","/wxgD3fB5lQ2sGJLog0rvXW049Pf.jpg","/zRBaZxS5YauLvRYjAdL4AUCwlht.jpg"
"304","Ocean's Collection","The Ocean's Collection is a star-studded film series about a group of professional robbers who get together to pull off some mind-boggling heists.","/7WUSrq8DqSkVgv1vmhBvav5bPoB.jpg","/oHUHccvraYF8lYp6BxRoujRtH8Q.jpg"
"328","Jurassic Park Collection","An American science fiction adventure film series based on the novel of the same name by Michael Crichton. The films center on the fictional Isla Nublar near Costa Rica in the Central American Pacific Coast, where a billionaire philanthropist and a small team of genetic scientists have created an amusement park of cloned dinosaurs.","/njFixYzIxX8jsn6KMSEtAzi4avi.jpg","/jcUXVtJ6s0NG0EaxllQCAUtqdr0.jpg"
"399","Predator Collection","A science fiction action film series centered on a warrior class extraterrestrial species with technologically advanced weaponry that travel to Earth to trophy hunt human beings.","/fXVzk9OxQwROCuiWvd0Cv76qmZi.jpg","/mm2t5dd1QFxtX6X56Z9U5ucsIb1.jpg"
"420","The Chronicles of Narnia Collection","Modern theatrical film productions based on the book series «The Chronicles of Narnia» by C. S. Lewis.","/ojjzZUQlqKTsN1T7s5OAVZSjYMH.jpg","/sh6Kn8VBfXotJ6qsvJkdfscxXKR.jpg"
"528","The Terminator Collection","A series of science-fiction films about the futuristic conflict between the humans led by John Connor and the Terminators that are made and controlled by Skynet, a self-aware super computer that started Armageddon and may indeed end humanity for good. Skynet's most well-known products in its genocidal goals are the various terminator models, such as the T-800 (Model 101).","/cpmbkwSxZnKO69V82A9a34tvk2E.jpg","/kpZxdNsAV7qTdTLwKM5NLqa7GEo.jpg"
"556","Spider-Man Collection","A superhero film series based on the Marvel Comics character Spider-Man. The series is centered on Peter Parker, an academically gifted but socially inept freelance photographer who gets bitten by a genetically modified spider and gains spider-like abilities, all of which he uses to fight crime as a spider-masked vigilante, learning for himself that with great power comes great responsibility.","/waZqriYTuBE3WqXI3SDGi3kfDQE.jpg","/bp5PqLa06QA1LsELA1SsKZ008H7.jpg"
